feature,importance
Dòng xe_Street Scramber,3.7528916802689623e-05
Dòng xe_Ninja,3.528053521777225e-05
Dòng xe_Duke 250,3.3870984192720335e-05
Dòng xe_Jupiter,3.360970651774969e-05
Dòng xe_BN 302,3.3368013112606354e-05
Dòng xe_Vespa S125,3.3123906433691636e-05
Thương hiệu_Hyosung,3.29258203851807e-05
Dòng xe_BX 150,3.1948887461423996e-05
Thương hiệu_Brixton,3.122413660141325e-05
Dòng xe_Raider,2.9620506906843433e-05
Dòng xe_Duke 200,2.872289491481003e-05
Dòng xe_MSX 125,2.8660325023548162e-05
Dòng xe_GV,2.7372911783095123e-05
Dòng xe_Bullet 500,2.6884084061559843e-05
Dòng xe_Nozza,2.4357274547339992e-05
Dòng xe_Primavera,2.398041161868711e-05
Dòng xe_Cuxi,2.287287840784337e-05
Dòng xe_SCR,2.1201518383439438e-05
Dòng xe_Star,1.983314471956152e-05
Dòng xe_Rock,1.9272985353009098e-05
Dòng xe_Duke 390,1.8348300657552502e-05
Dòng xe_Hayate,1.829945632519808e-05
Dòng xe_Scoopy,1.825940205868469e-05
Thương hiệu_Keeway,1.5967005771453632e-05
Dòng xe_Legend Gentleman 200,1.414933977774363e-05
Dòng xe_GD,1.375969246622469e-05
Dòng xe_Medley,1.2653427136564715e-05
Dòng xe_Shark,1.244392769950088e-05
Thương hiệu_Taya,1.2284805788606927e-05
Dòng xe_Husky,1.1744382317907804e-05
Dòng xe_Luvias,1.0716436085821337e-05
Dòng xe_Galaxy,1.0275394456089827e-05
Dòng xe_LX,1.0100695213310075e-05
Dòng xe_Acruzo,1.0016096321472222e-05
Dòng xe_Wolf,9.37376722551241e-06
Dòng xe_V-Rod,8.830134991611663e-06
Dòng xe_Z300,8.69881124635623e-06
Thương hiệu_Kymco,8.685593541251649e-06
Dòng xe_Impulse,8.24993782108508e-06
Dòng xe_Viva,8.179850177626068e-06
Dòng xe_Taurus,7.401963513188875e-06
Dòng xe_Citi,6.803188320907807e-06
Thương hiệu_Detech,5.567677697228253e-06
Dòng xe_Demon 150GN,5.33427698600218e-06
Thương hiệu_Daelim,4.936591764421871e-06
Dòng xe_EN,4.675746360414645e-06
Thương hiệu_Victory,4.270514049573512e-06
Dòng xe_Elizabeth,4.190877849767404e-06
Xuất xứ_Bảo hành hãng,4.140845154835533e-06
Dòng xe_Angela,4.102217511892271e-06
Dòng xe_Giorno,4.0270089007082104e-06
Dung tích xe_Đang cập nhật,3.952570784018768e-06
Dòng xe_TNT,3.8585450675168854e-06
Dòng xe_Revo,3.7200186471366e-06
Dòng xe_Espero,3.7156182885754813e-06
